# Logfile created on 2017-02-13 12:35:04 +0100 by logger.rb/44203
I, [2017-02-13T12:35:07.470232 #12085]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:40:47.150210 #12606]  INFO -- : lab.rism: Source #210000074 add tag 500$a with content 'Commment on scoring: bc: vlc'
I, [2017-02-13T12:40:47.160763 #12606]  INFO -- : lab.rism: Source #210000076 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.169236 #12606]  INFO -- : lab.rism: Source #210000077 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.177943 #12606]  INFO -- : lab.rism: Source #210000078 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.186207 #12606]  INFO -- : lab.rism: Source #210000079 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.192697 #12606]  INFO -- : lab.rism: Source #210000080 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.201859 #12606]  INFO -- : lab.rism: Source #210000082 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.210489 #12606]  INFO -- : lab.rism: Source #210000085 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.218753 #12606]  INFO -- : lab.rism: Source #210000086 add tag 500$a with content 'Commment on scoring: bc: b'
I, [2017-02-13T12:40:47.228418 #12606]  INFO -- : lab.rism: Source #210000087 add tag 500$a with content 'Commment on scoring: bc: vlc, org'
I, [2017-02-13T12:40:47.237722 #12606]  INFO -- : lab.rism: Source #210000088 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:47.246203 #12606]  INFO -- : lab.rism: Source #210000089 add tag 500$a with content 'Commment on scoring: bc: org, vlc'
I, [2017-02-13T12:40:47.254545 #12606]  INFO -- : lab.rism: Source #210000091 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.262921 #12606]  INFO -- : lab.rism: Source #210000093 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.283277 #12606]  INFO -- : lab.rism: Source #210000096 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.292864 #12606]  INFO -- : lab.rism: Source #210000097 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:47.301397 #12606]  INFO -- : lab.rism: Source #210000098 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.314607 #12606]  INFO -- : lab.rism: Source #210000100 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.321974 #12606]  INFO -- : lab.rism: Source #210000101 add tag 500$a with content 'Commment on scoring: bc: b, org'
I, [2017-02-13T12:40:47.333105 #12606]  INFO -- : lab.rism: Source #210000102 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.343632 #12606]  INFO -- : lab.rism: Source #210000103 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.358986 #12606]  INFO -- : lab.rism: Source #210000104 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.380362 #12606]  INFO -- : lab.rism: Source #210000105 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:47.388392 #12606]  INFO -- : lab.rism: Source #210000106 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.398484 #12606]  INFO -- : lab.rism: Source #210000107 add tag 500$a with content 'Commment on scoring: bc: vlc, cemb'
I, [2017-02-13T12:40:47.407101 #12606]  INFO -- : lab.rism: Source #210000108 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.415008 #12606]  INFO -- : lab.rism: Source #210000109 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.422215 #12606]  INFO -- : lab.rism: Source #210000110 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.429419 #12606]  INFO -- : lab.rism: Source #210000112 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:47.439050 #12606]  INFO -- : lab.rism: Source #210000114 add tag 500$a with content 'Commment on scoring: bc: b, org, arp'
