"510 RISM Serie";"RISM-ID";"852 $a Bibliothek ";"852 $q";"852 $c";"856 $u";"856 $z";"856 $x";"691 $a";"691 $n";"500 Bemerkungen ";
"R 1961";;"NL-Uim ";;;;;;;;;
"R 2115";;"NL-Uim ";;;;;;;;;
"R 2331 ";;"B-Bc";;;;;;;;;
"R 2341 ";;"B-Bc";;;;;;;;;
"R 2559";;"D-GOl";;;;;;;;;
"R 59";;"NL-RHkeppel";;;;;;;;;
"R 68";;"NL-Uim ";;;;;;;;;
"R 983";;"NL-Uim ";;;;;;;;;
"R 984";;"NL-Uim ";;;;;;;;;
"RR 2308a ";;"B-Bc";;;;;;;;;
"S 1063";;"NL-DHnmi";;;;;;;;;
"S 1587";;"B-Bc ";;;;;;;;;
"S 1937 ";;"NL-DHa ";;;;;;;;;
"S 2183";;"NL-DHnmi";;;;;;;;;
"S 2392";;"NL-BUkoopman";;;;;;;;;
"S 2739 ";;"GB-Lbl ";"V 5, V 6, V 7";;;;;;;"Zusammengebunden mit Stimmbüchern von S 2740 und S 2741";
"S 4671";;"NL-BUkoopman";;;;;;;;;
"S 4673";;"NL-Uim ";;;;;;;;;
"S 4678";;"NL-BUkoopman";;;;;;;;;
"S 6001 ";;"NL-DHa ";;;;;;;;;
"S 698";;"NL-Uim ";;;;;;;;;
"S 7192";;"A-Kr  ";;;;;;;;;
"S 722";;"NL-BUkoopman ";"vl 1, vl 2, bc";;;;;;;;
"SS 6605a";;"D-W";;;;;;;;;
"T 1340";;"PL-Pu ";;;;;;;;;
"V 1155";;"B-Bc ";;;;;;;;;
"V 1158";;"B-Bc ";;;;;;;;;
"V 1159";;"B-Bc ";;;;;;;;;
"V 1327 ";;"B-Br ";;;;;;;;;
"V 1833";;"NL-Uim ";;;;;;;;;
"V 1837";;"NL-Uim ";;;;;;;;;
"V 1838";;"NL-Uim ";;;;;;;;;
"V 1845";;"NL-DHa ";;;;;;;;;
"V 2383";;"NL-At ";;;;;;;;;
"V 53";;"B-Bc ";;;;;;;;;
"V 682";;"NL-Ur";;;;;;;;;
"W 1041";;"US-NH ";"A";;;;;;;;
"W 1679 ";;"NL-At ";;;;;;;;;
"W 1946";;"NL-BUkoopman";;;;;;;;;
"WW 1700 I,1";;"A-Wn";;;;;;;;;
"WW 1722 II,108";;"NL-Uim ";;;;;;;;"Teil 1: Impressum André, Offenbach überklebt mit Etikett L. Plattner, Rotterdam";
"YY 8a";;"NL-DHnmi";;;;;;;;;
"Z 427";;"B-Bc";;;;;;;;;
"Z 65";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
;990003110;"A-Wnh";;"SH.Theoretica.5";;;;;;;
;990003110;"A-Wnh";;"SH.Theoretica.6";;;;;;;
