DNB,ID
2017719-7,76587
215686-6,76588
215677-5,76589
38911-0,76590
26762-4,76632
5025802-3,30002746
50211-X,76725
5081121-6,76726
1015243-X,76741
1048485-1,76767
10096180-0,76768
10357443-8,76803
1008388-1,76805
50621-7,76806
10316041-3,76860
600620-6,76886
3008740-5,76887
123458-4,76888
5103304-5,76930
2028738-0,76933
2022676-7,76955
10088547-0,77016
10762-1,77056
37535-4,77189
10158115-4,77216
253260-8,77240
26148-8,77288
1022827-5,77305
5159203-4,77309
10005133-9,77312
5303825-3,77353
5067725-1,77395
83588-2,77399
5554843-X,77409
2022475-8,77414
2106692-9,77420
2010858-8,77444
2129034-9,77449
64119-4,77464
2055897-1,77472
2055889-2,77473
37431-3,77494
116842-3,77503
1021094-5,77564
5068036-5,77633
10147615-2,77657
5054353-2,77674
10074432-1,77702
1010830-0,77727
2040596-0,30001168
254721-1,77768
90537-9,77769
2010948-9,77818
2042232-5,77845
5188939-0,77849
2069669-3,77890
74722-1,77908
2035500-2,77920
5350757-5,77921
10184694-0,77925
263472-7,77953
5207313-0,77956
5170529-1,77973
5186822-2,77979
25565-8,78037
5289586-5,78038
1002733-6,78054
5038881-2,78113
5162593-3,78122
601471-9,78137
10138103-7,78166
2079401-0,78237
10349820-5,78249
2154857-2,78296
260831-5,78305
5059228-2,78317
10725-6,78328
10353-6,78329
275679-1,78351
2016560-2,78353
5195975-6,78366
5022772-5,78371
5128161-2,78372
16008929-3,78373
601251-6,78379
39720-9,78392
10000336-9,78435
1601423-6,78447
2013710-2,78469
10096196-4,78473
