ID,Incipitnr,PIKaDo 823,PIKaDo 824
200043752, 1.57.1, c;3/8;c, 
200043752, 1.61.1, c;3/8, 2/4
200043816, 1.6.1, c;3/8, 2/4
200043816, 1.7.1, c;3/8, 
200043816, 1.8.1, 3/4;c, 2/4
200043816, 1.9.1, c;3/8, 2/4
200043816, 1.10.1, 3/4;c, 2/4
200043816, 1.12.1, 3/4;c, 2/4
200043816, 1.14.1, c;3/8, 
200043816, 1.20.1, c/;3/8;c/, 2/4
200043816, 1.21.1, c;3/8;c, 
200043836, 1.1.1, c;3/4, 
200043836, 1.6.1, c;3/8, 
200043836, 1.8.1, c;6/8;c, 
200043836, 1.10.1, 3/4;c/, 
200043836, 1.15.1, 3/4;c;3/4, 
200043836, 1.17.1, 3/8;c;3/8, 
200043836, 1.17.2, 3/8;c;3/8, 
200043836, 1.18.1, c;3/8;c, 
200043836, 1.21.1, c/;3/8;c/, 
200043836, 1.22.1, c/;3/4;c/, 
200043836, 1.25.1, c/;3/8;c/, 2/4;2/4
200043868, 1.1.1, 3/4;c/, 
200044043, 1.12.1, c;2/4, 
200044043, 1.15.1, 3/4;2/4;3/4, 
200044183, 1.1.1, 3/4;6/8, 
200044184, 1.1.1, 3/4;6/8, 
200044191, 1.1.1, 3/4;c, 
200044202, 1.1.1, c/;3/4, 
200044203, 1.1.1, 3/4;c, 
200044208, 1.1.1, 3/4;6/8, 
200044256, 1.4.1, 3/4;3/4, 
200044261, 1.4.1, 3/4;3/4, 
200044272, 1.4.1, 3/4;3/4, 
200044668, 1.16.1, c;3/4, 
200044668, 1.23.1, c;6/8;c;6/8;c, 
200044668, 1.50.1, 2/4;3/4, 
200044669, 1.21.1, c;6/8;c;c, 
200044997, 1.20.1, c;3/8;c, 
200045539, 1.1.1, c;2/4, 
200045539, 1.3.1, c;3/8, 
200045592, 1.8.1, c/;3/4;c/;3/4;c/;3/4;c/, 
200045675, 1.5.1, c/;12/8, 
200237403, 1.1.1, 3/4;6/8, 
200237406, 1.1.1, 3/4;6/8, 
200237407, 1.1.1, 3/4;6/8, 
200237408, 1.1.1, c;c/, 
200237409, 1.1.1, c;c/, 
201000005, 1.1.1, c;c/, 
201000218, 1.9.1, c;6/8, 
201001091, 1.1.1, c;6/8;6/8, 
201001104, 1.1.1, c;3, 4/2;o
201001121, 1.1.1, c;6/4;c;6/4, 
201001153, 1.2.1, c;3/4, 
201001167, 1.4.1, 6/8;2/4;6/8, 
201001169, 1.5.1, 2/4;c/, 
201001185, 1.1.1, c/;c/, 
201001185, 1.2.1, c/;6/8, 
201001198, 1.1.1, 6/8;c;6/8;3/8;6/8;c, 
201001260, 1.1.1, 3/4;c;c;c, 
201001294, 1.4.1, c;6/8, 
201001314, 1.1.1, c;c, 
201001343, 1.1.1, c;3/4, 
201002508, 1.5.1, 2/4;3/8, 
201002554, 1.2.1, 3/4;c, 
201002556, 1.1.1, 6/8;c/, 
201002557, 1.1.1, c;6/8, 
201002557, 1.2.1, 6/8;c, 
201002566, 1.5.1, c/;3/4, 
201002571, 1.5.1, c;2/4, 
201002574, 1.5.1, 3/4;6/8, 
201002576, 1.1.1, c;2/4;3/4, 
201002577, 1.1.1, 3/4;c, 
201002579, 1.1.1, 2/4;c/;3/8;6/8;3/4, 
201002590, 1.1.1, 3/4;2/4;c, 
201002606, 1.1.1, 3/4;c, 
201002611, 1.1.1, 2/4;3/4, 
201002647, 1.1.1, 6/8;c/;3/8, 
201002699, 1.1.1, c/;6/8, 
201002777, 1.5.1, 2/4;3/4;c/, 
201002780, 1.1.1, c/;3/4, 
201002782, 1.1.1, c;3/4, 
201002784, 1.2.1, 3/4;c, 
201002798, 1.1.1, 2/4;6/8, 
201002825, 1.1.1, c/;c, 
201002840, 1.1.1, 3/4;c/, 
201002862, 1.3.1, 3/4;c, 
201002874, 1.1.1, 3/4;c/, 
201002878, 1.6.1, c;3/4;c, 
201002878, 1.9.1, 3/4;c/, 
201002888, 1.1.1, 3/4;2/4, 
201002891, 1.1.1, c/;3/4, 
201002891, 1.3.1, c/;2/4, 
201002891, 1.3.2, c/;2/4, 
201002896, 1.3.1, 3/4;c, 
201002909, 1.1.1, c;3/4;c, 
201002916, 1.3.1, 3/4;c, 
201002924, 1.2.1, 2/4;c/, 
201002936, 1.1.1, c;3/4, 
201002936, 1.1.2, c;3/4, 
201002937, 1.2.1, 3/4;c, 
201002937, 1.2.2, 3/4;c, 
201003067, 1.1.1, c;3/1, 
201003068, 1.1.1, c;3/1, 4/2
201003073, 1.1.1, c;3/1, 
201003076, 1.1.1, 3/1;c, 6/1
201003077, 1.1.1, c/;3/1, 4/2
201003078, 1.1.1, 3/1;c/, 6/1;4/2
201003079, 1.1.1, c/;3/1, 4/2;6/1
201003080, 1.1.1, 3/1;c/, 6/1;4/2
