ID,Term,Alternativ
50001337,All-Night Vigil,"Всенощное бдение, Всенощноє бдѣнiє, Nachtwache, Vsēnoshtnoe bděnīe, Vsenoshnoe bdenie, Vsenoščnoe bdenie, Vsénoshchnoye bdéniye, Great Vespers, Всенощная"
50001338,Polish national songs,
50001339,Polyeleos,"Полиелей
Πολυέλεος"
50001340,Troparia,"Troparion
Тропарь
τρόπαριον"
50001341,Canon refrains,
50001342,Stichera,
50001345,Vocalises,"Vokalisen
Vocalizzi"
50001346,Tonadas,""
50001347,Albazos,
50001348,Bombas,
50001349,Yaravies,
50001351,Strambottos,""
50001352,Ballatas (voc.),Barzelettas
50001354,Sambas,""
50001357,Burlettas,""
50001363,First critically reviewed  editions,
50001371,Viol music,
50001372,Part books,
50001373,Paraphrases,
50001375,Kontakia,"Kontakion
Kondakion
Kondak
Кондак"
50001377,Irmoi,"Irmos
Heirmos
Ирмос
εἱρμός"
50001378,Ikoi,"Ikos
Oikos
Икос
οἶκος"
50001379,Exapostilaria,"Exapostilarion
Ексапостиларий
ἐξαποστειλάριον
Светилен"
50001380,Ejaculations,"Ejaculatory prayers
Stoßgebete
Precationes iaculatoriae
Jaculatorias"
50001381,Stepenna,"Степенна 
Степенный антифон
Gradual Antiphon"
50001383,Velikoe slavoslovie,"Великое славословие
Greater Doxology
Glory to God in the highest
Angelic Hymn
Ἡ μεγάλη δοξολογία
Gloria in Excelsis Deo
Große Doxologie
Ehre sei Gott in der Höhe"
50001384,Mnogoletie,"Многолетие
Polychronion
Πολυχρόνιον
Ad multos annos"
50001386,Stornellos,""
50001387,Liturgija Preždeosvjaščennych Darov,"Литургия преждеосвященных Даров
Liturgy of the Presanctified Gifts
Liturgii͡a prezhdeosvi͡ashchennykh Darov
Presanctified Liturgy
Liturgie der Vorgeweihten Gaben"
50001388,Ektenija,"Ектения
Єктенїѧ
Ektenii͡a
Ectenia
ἐκτενὴς
Litany "
50001389,Pričasten,"Причастен
Prichasten
κοινωνικός"
50001390,Theotokia,"Богородичен
Bogorodichen
Bogorodičen
Θεοτοκίον"
50001391,Panichida,"Панихида
Panikhida
Memorial service
"
50001392,Posledovanie ischodnoe monachov,"Последование исходное монахов
Posledovanie iskhodnoe monakhov
Чин погребения монахов
Burial of monks"
50001393,Moleben,"Молебен
Paraklesis
Supplicatory Canon"
50001394,Liturgija Ioanna Zlatousta,"Литургия Иоанна Златоуста
Liturgii͡a Ioanna Zlatousta
Liturgy of Saint John Chrysostom
Göttliche Liturgie des heiligen Johannes Chrysostomos
"
50001395,Blaženny,"Beatitudes
Makarismoi
μακαρισμοί
Seligpreisung
"
50001415,Echoes,Echos
50001425,Letrillas,
50001437,Piano pieces,Klavierstücke
50001439,Military songs,
50001453,Methods,
50001458,Dramma per musica,""
50001459,Revues,
50001474,Novena,
50001475,Harp music,""
50001497,Flamencos,""
50001499,Rasgos,
50001501,Salves,
50001503,Coplas,
50001504,Pasos,
50001512,Spirituals,
50001514,Wienerlieder,""
50001516,Salon pieces,"Salon music
Salonstücke
Salonmusik
Morceaux de Salon"
50001517,Capitula,
50001526,Violin music,
50001532,Jaleos,
50001546,Marian hymns,Marienhymnen
50001591,Scherzo comico,
50001643,Patriotic songs,""
50001651,History of music,Musikgeschichte
50001652,Mandora music ,
50001662,Music aesthetics,
50001663,Music dictionary,
