ID, Model, Unicode-Character, Sample
Source,463001300,TABULATOR,: Incipit][TABULATOR]{{brk}} [t
Source,464110734,TABULATOR,"n Napoli"".[TABULATOR]Der Circol"
Source,464111140,TABULATOR,oft zu mir[TABULATOR] $gRISM$04
Source,464140409,TABULATOR,592  ##$a [TABULATOR][crowned s
Source,464140674,TABULATOR,15 N$dMus.[TABULATOR]ms.autogr.
Source,464140675,TABULATOR,16 N$dMus.[TABULATOR]ms.autogr.
Source,464140676,TABULATOR,17 N$dMus.[TABULATOR]ms.autogr.
Source,464140677,TABULATOR,18 N$dMus.[TABULATOR]ms.autogr.
Source,464140872,TABULATOR,26 N$d69.5[TABULATOR]$eStaatsbi
Source,464140873,TABULATOR,27 N$d69.7[TABULATOR]$eStaatsbi
Source,469070600,TABULATOR,541  1#$a [TABULATOR]C. P. E. B
Source,469071400,TABULATOR,541  1#$a [TABULATOR]C. P. E. B
Source,530010197,TABULATOR,/4.C6C4C//[TABULATOR]$rC$tDixit
Source,530010336,TABULATOR,)({DEG})//[TABULATOR]$rA=041 
Source,530010565,TABULATOR,''2D4C'B//[TABULATOR]$rG$tIn co
Source,530010700,TABULATOR,.F6F8D4-//[TABULATOR][TABULATOR]$rC$tDixi
Source,530010769,TABULATOR,8A/{GF}F//[TABULATOR]$ra=041 
Source,530010849,TABULATOR,FG};3)4F//[TABULATOR]$rF=100 
Source,530011056,TABULATOR,'D{C'B}G//[TABULATOR]$rG$tKyrie
Source,530011280,TABULATOR,G8D4.A8D//[TABULATOR]$rG=100 
Source,530011298,TABULATOR,"{D,B}'8C//[TABULATOR]$rA$tRegin"
Source,530011342,TABULATOR,'6CD}8EE//[TABULATOR]$rB|b$tCar
Source,530011390,TABULATOR,.At6A/4G//[TABULATOR]$rG$tMagna
Source,530011690,TABULATOR,C/'1B/2B//[TABULATOR]$rb$tAlma 
Source,530011717,TABULATOR,E8Fq8E4D//[TABULATOR]$rB|b$tMar
Source,530011794,TABULATOR,{8.C'6B}//[TABULATOR]$rC=041 
Source,530011911,TABULATOR,D6EE4D/C//[TABULATOR]$rC$tEgo a
Source,530012751,TABULATOR,{A6GA}4G//[TABULATOR]$rG$tSinge
Source,530012752,TABULATOR,c1$dFinale[TABULATOR]. Allegro 
Source,540002768,TABULATOR,th incipit[TABULATOR].=590  #
Source,550280876,TABULATOR," Datierung[TABULATOR]""19 20/12 "
Source,550403189,TABULATOR,$dN|r|o 55[TABULATOR] $eNárodní
Source,550450053,TABULATOR,Čís. 19/T.[TABULATOR][TABULATOR][TABULATOR][TABULATOR][TABULATOR]$eNáro
Source,550500707,TABULATOR,Maschek); [TABULATOR]KV C3.27 (
Source,551003809,TABULATOR," 6/12 53.""[TABULATOR]und der Na"
Source,551003970,TABULATOR,xD}4E+/2.E[TABULATOR][TABULATOR]$rC=031
Source,551004086,TABULATOR,{8GG}/4G-/[TABULATOR]$rG=031 
Source,551004221,TABULATOR,          [TABULATOR]1$rD=031
Source,552001783,TABULATOR,{AG}FE4ED/[TABULATOR]$rC$tKyrie
Source,552001784,TABULATOR,2.D4D/2E-/[TABULATOR]$rC$tKyrie
Source,553013863,TABULATOR,"m Titel]: [TABULATOR]""Directori"
Source,600092343,TABULATOR, UNIVERSAL[TABULATOR]=EDITION A
Source,605001164,TABULATOR,C'B/2A4G-/[TABULATOR]$rE$tSpere
Source,650002012,TABULATOR,uble beam][TABULATOR]$802=592
Source,650002035,TABULATOR,distinct] [TABULATOR]$801=592
Source,650002060,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002063,TABULATOR,way round][TABULATOR]$801=592
Source,650002103,TABULATOR,post horn][TABULATOR]$801=592
Source,650002139,TABULATOR,Hildegard][TABULATOR]$801=592
Source,650002140,TABULATOR,[above:] 4[TABULATOR]$801=592
Source,650002142,TABULATOR,ndistinct][TABULATOR]$801=592
Source,650002167,TABULATOR,"ily, big] [TABULATOR]$801=592"
Source,650002172,TABULATOR,Hildegard][TABULATOR]$801=592
Source,650002229,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002249,TABULATOR, a circle][TABULATOR] 1820c$801
Source,650002257,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002260,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002261,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002264,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002266,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002267,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002295,TABULATOR,Hildegard][TABULATOR]$801=592
Source,650002355,TABULATOR,uble beam][TABULATOR]$803=592
Source,650002423,TABULATOR,l profile][TABULATOR]$801=592
Source,650002451,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002455,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002495,TABULATOR,"ily, big] [TABULATOR]$801=592"
Source,650002571,TABULATOR,erial orb][TABULATOR]$801=592
Source,650002620,TABULATOR,uble beam][TABULATOR]$801=592
Source,650002698,TABULATOR,elow:] 4  [TABULATOR]$801=592
Source,650002706,TABULATOR,creasing)][TABULATOR]$801=592
Source,650002709,TABULATOR,way round][TABULATOR]$801=592
