SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.1168/1,"Benda, Franz","Sonatas - vl, bc; LeeB 3.51",2 parts,"2, 2f.",240001043,01
Mus.1168/4,"Benda, Franz","Sonatas - vl, b; LeeB 3.62",score: 4f.,"",240001044,01
"","","",2 parts,"2, 2f.","",02
Mus.1168/11,"Benda, Franz","Sonatas - vl, bc; LeeB 3.69",score: 4f.,"",240001045,01
Mus.1168/2,"Benda, Franz","Sonatas - vl, b; LeeB 3.70",2 parts,"2, 2f.",240001046,01
Mus.1168/3,"Benda, Franz","Sonatas - vl, b; LeeB 3.77",2 parts,"2, 2f.",240001047,01
Mus.1168/5,"Benda, Franz","Sonatas - vl, bc; LeeB 3.97",2 parts,"2, 2f.",240001048,01
Mus.1168/9,"Benda, Franz","Sonatas - vl, bc; LeeB 3.101",score: 4f.,"",240001049,01
Mus.1168/10,"Benda, Franz","Sonatas - vl, bc; LeeB 3.95",score: 1f.,"",240001050,01
Mus.1168/8,"Benda, Franz","Sonatas - vl, b; LeeB 3.130",2 parts,"2, 2f.",240001051,01
Mus.1173,"Benda, Franz","Sonatas - fl, cemb; LeeB 3.6",score: 4f.,"",240001052,01
Mus.1186/5,"Benda, Franz","Sonatas - vl, vlc; LeeB 3.31",2 parts,"2, 1f.",240001053,01
Mus.1186/2,"Benda, Franz","Sonatas - vl, bc; LeeB 3.61",2 parts,"2, 2f.",240001054,01
Mus.1174,"Benda, Franz","Sonatas - fl, cemb; LeeB 3.56",score: 5f.,"",240001055,01
Mus.1186/7,"Benda, Franz","Sonatas - vl, vlc; LeeB 3.69",2 parts,"1, 2f.",240001056,01
Mus.1186/4,"Benda, Franz","Sonatas - vl, cemb; LeeB 3.78",2 parts,"1, 2f.",240001057,01
Mus.1186/8,"Benda, Franz","Sonatas - vl, vlc; LeeB 3.91",2 parts,"1, 2f.",240001058,01
Mus.1186/6,"Benda, Franz","Sonatas - vl, vlc; LeeB 3.112",2 parts,"1, 2f.",240001059,01
