ID,031_q,031_m
190014240,t,V
190014241,t,A
190014242,t,Bariton
212006919,t,gallichona 1
212006919,t,gallichona 1
212006919,t,gallichona 1
212006920,t,gallichona 1
212006920,t,gallichona 1
212006921,t,gallichona 1
212006921,t,gallichona 1
212006921,t,gallichona 1
212006922,t,gallichona 1
212006922,t,gallichona 1
212006923,t,gallichona 1
212006923,t,gallichona 1
220000039,t,ob 1
220000088,t,vl 1
220000088,t,S solo
220000097,t,cor 1
220000187,t,cl 1
220000196,t,cl 1
220000202,t,cl
220000232,t,cl 1
220000267,t,cl 1
220000270,t,cl 1
220000286,t,cl 1
220000303,t,cl 1
220000323,t,cor 1
220000472,t,cl 1
220000512,t,cor 1
220000663,t,cl 1
220000666,t,cl 1
220000672,t,cl 1
220000673,t,cl 1
225000243,t,V 1 solo
225000244,t,V 2 solo
225000245,t,V 2 solo
225000246,t,V 1 solo
225000247,t,V 1 solo
225000248,t,V 1 solo
225000250,t,V 1 solo
225000251,t,V 1 solo
225000252,t,V 1 solo
225000253,t,V 1 solo
225000254,t,V 1 solo
230000161,t,tr 1
230000249,t,cl
230000249,t,cl
230000249,t,cl
230000511,t,cl 1
230000513,t,cl 1
240000034,t,cor 1
240000059,t,S
