00000990040134	[c. 1795]	Year of publication from British Library catalogue.
00000990040321	[approximately 1797]	Year of publication from British Library catalogue.
00000990040326	[1797]	Year of publication from British Library catalogue.
00000990040394	[1800?]	Year of publication from British Library catalogue.
00000990041093	[1799]	Year of publication from British Library catalogue.
00000990041338	[ca. 1800]	Year of publication from British Library catalogue.
00000990042291	[between 1762 and 1778]	Year of publication from British Library catalogue.
00000990042565	[1721?]	Year of publication from British Library catalogue.
00000990042724	[1797]	Year of publication from British Library catalogue.
00000990042725	[1797]	Year of publication from British Library catalogue.
00000990042726	[1797]	Year of publication from British Library catalogue.
00000990042727	[1797]	Year of publication from British Library catalogue.
00000990042728	[1797]	Year of publication from British Library catalogue.
00000990042930	[1798?]	Year of publication from British Library catalogue.
00000990042940	[1798]	Year of publication from British Library catalogue.
00000990042941	[1798]	Year of publication from British Library catalogue.
00000990042942	[1798]	Year of publication from British Library catalogue.
00000990043264	[1802]	Year of publication from British Library catalogue.
00000990043395	[ca. 1800]	Year of publication from British Library catalogue.
00000990043504	[ca. 1800]	Year of publication from British Library catalogue.
00000990043642	[1809]	Year of publication from British Library catalogue.
00000990043742	[1798]	Year of publication from British Library catalogue.
00000990043865	[1798]	Year of publication from British Library catalogue.
00000990043930	[ca. 1800]	Year of publication from British Library catalogue.
00000990044047	[1789?]	Year of publication from British Library catalogue.
00000990044129	[between 1807 and 1811?]	Year of publication from British Library catalogue.
00000990044310	[between 1800 and 1810?]	Year of publication from British Library catalogue.
00000990044323	[1801?]	Year of publication from British Library catalogue.
00000990044361	[ca. 1795]	Year of publication from British Library catalogue.
00000990044427	[1811?]	Year of publication from British Library catalogue.
00000990044622	[1802]	Year of publication from British Library catalogue.
00000990038823	[1796]	Year of publication from British Library catalogue.
00000990044715	[1793?]	Year of publication from British Library catalogue.
00000990045038	[1802]	Year of publication from British Library catalogue.
00000990045223	[ca.1800]	Year of publication from British Library catalogue.
00000990045224	[between 1798 and 1804?]	Year of publication from British Library catalogue.
00000990045317	[ca. 1790]	Year of publication from British Library catalogue.
00000990045373	[ca. 1815]	Year of publication from British Library catalogue.
00000990045376	[1803?]	Year of publication from British Library catalogue.
00000990045455	[1794]	Year of publication from British Library catalogue.
00000990045991	[approximately 1806]	Year of publication from British Library catalogue.
00000990046507	[between 1806 and 1808?]	Year of publication from British Library catalogue.
00000991008424	[1791?]	Year of publication from British Library catalogue.
00000991022462	[1804]	Year of publication from British Library catalogue.
00000991028086	[between 1798 and 1805]	Year of publication from British Library catalogue.
00000991026854	[ca. 1800]	Year of publication from British Library catalogue.
00000991027167	[ca. 1805]	Year of publication from British Library catalogue.
00000991027564	[1803?]	Year of publication from British Library catalogue.
00000991010631	[ca.1805]	Year of publication from British Library catalogue.
00000991027705	[between 1803 and 1816?]	Year of publication from British Library catalogue.
00000991028438	[between 1793 and 1796?]	Year of publication from British Library catalogue.
00000991028484	[1794]	Year of publication from British Library catalogue.
00000991009653	[1811?]	Year of publication from British Library catalogue.
00000990046703	[1727?]	Year of publication from British Library catalogue.
00000990046732	[1798?]	Year of publication from British Library catalogue.
00000990046824	[ca. 1790]	Year of publication from British Library catalogue.
