001	852$c	500$a	500$a	856$u	856$x	856$z
00000990044329	Tyson P.M.147.(3.)		Title information: Grand concert pour le clavecin ou forte-piano avec l'accompagnement des deux violons, alto, et basse, deux hautbois, et deux cors,. A Vienne: chez Artaria Comp., [1784?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034525	Other	Description in British Library catalogue
00000990044377	Tyson P.M.147.(2.)		Title information: No. [ms 1] des six grands concertos pour le piano- forté,. A Offenbach s/M,: chez J. André, [ca.1805]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034524	Other	Description in British Library catalogue
00000990044622	e.368.y.(5.)		Title information: Quartetto pour le clavecin ou piano-forte avec violon, viole, et violoncelle, oeuvre 100. A Vienne: chez Artaria et Comp., [1802]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017746541	Other	Description in British Library catalogue
00000990044637	Tyson P.M.26.(2.)		Title information: Trois quatuors tres faciles pour deux violons, alto et basso. A Vienne: chez Artaria Comp., [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005030936	Other	Description in British Library catalogue
00000990044878	e.57.xx.(7.)		Title information: Quintetto per l'armonica o forte piano. In Lipsia: presso Breitkopf e Härtel, [1799]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027943	Other	Description in British Library catalogue
00000990044932	Tyson P.M.146.(1.)		Title information: Trio per il clavicembalo o forte piano con l'accompagnamento d'un violino e violoncello. A Vienna: presso Artaria Compagni, [1791?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034519	Other	Description in British Library catalogue
00000990045211	Tyson P.M.143.		Title information: Deux sonates a quatre mains sur un clavecin ou pianoforte. [Vienne]: chez Artaria compa. a Vienne, [1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005031168	Other	Description in British Library catalogue
00000990045223	Tyson P.M.149.(8.)		Title information: Grande sonate a quatre mains sur un clavecin ou pianoforte. A Vienne: chez Artaria Compag, [ca.1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034560	Other	Description in British Library catalogue
00000990045571	Tyson P.M.144		Title information: Ariette. A Vienne: chez Artaria Comp., [1791]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034517	Other	Description in British Library catalogue
00000990045598	Tyson P.M.145		Title information: Ariette. A Vienne: chez Artaria Comp., [1793]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034518	Other	Description in British Library catalogue
00000990045621	g.6.(1.)		Title information: Minuetto de Mr I.P. Dupord. À Berlin avec privilége du Roi; à Amsterdam au Grand magazin de musique et aux adresses ordinaires: chés J.J. Hummel, [1791]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027944	Other	Description in British Library catalogue
