1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850676985,,[1901-1910],,292x224 mm,Autograph manuscript,non applicabile,
850676986,,[1911-1940],,292x224 mm,Autograph manuscript,non applicabile,
850677026,,[1811-1840],,230x300 mm,Autograph manuscript,non applicabile,
850677027,,[1811-1840],,225x290 mm,Autograph manuscript,non applicabile,
850682383,,[1911-1940],,360x260 mm.,Autograph manuscript,non applicabile,
850682384,,1913,,330x240 mm,Autograph manuscript,non applicabile,
850682780,,1924,,357x267 mm,Autograph manuscript,non applicabile,
850685110,,[1811-1840],,235x320 mm,Autograph manuscript,non applicabile,
850685114,,[1841-1860],,215x277 mm,Autograph manuscript,non applicabile,
850685657,,[1911-1940],,330x240 mm,Autograph manuscript,non applicabile,
850687219,,[1841-1860],,225x285 mm,Autograph manuscript,non applicabile,
850687223,,[1841-1860],,230x300 mm,Autograph manuscript,non applicabile,
850687224,,[1841-1860],,227x283 mm,Autograph manuscript,non applicabile,
850687227,,[1841-1860],,225x285 mm,Autograph manuscript,non applicabile,
850687519,,[1841-1860],,227x285 mm,Autograph manuscript,non applicabile,
850687520,,[1841-1860],,220x280 mm,Autograph manuscript,non applicabile,
850687521,,[1841-1860],,225x288 mm,Autograph manuscript,non applicabile,
850687522,,[1811-1840],,225x295 mm,Autograph manuscript,non applicabile,
850687525,,[1841-1860],,225x300 mm,Autograph manuscript,non applicabile,
850687694,,[1811-1840],,280x290 mm,Autograph manuscript,non applicabile,
850687695,,[1841-1860],,230x295 mm,Autograph manuscript,non applicabile,
850687696,,[1841-1860],,225x290 mm,Autograph manuscript,non applicabile,
850689167,,[1841-1860],,291x203 mm,Autograph manuscript,non applicabile,
850689175,,[1911-1940],,295x223 mm,Autograph manuscript,non applicabile,
850692218,,[1841-1860],,205x275 mm,Autograph manuscript,non applicabile,
850692425,,[1841-1860],,208x275 mm,Autograph manuscript,non applicabile,
850692548,,[1861-1890],,220x280 mm.,Autograph manuscript,non applicabile,
850692564,,[1841-1860],,230x285 mm,Autograph manuscript,non applicabile,
850692620,,[1811-1840],,281x217 mm.,Autograph manuscript,non applicabile,
850694429,,[1861-1890],,223x297 mm.,Autograph manuscript,non applicabile,
850694654,,[1911-1940],,230x300 mm,Autograph manuscript,non applicabile,
850695255,,[1841-1860],,225x305 mm,Autograph manuscript,non applicabile,
850699666,,,,,Autograph manuscript,non applicabile,
850699676,,,,,Autograph manuscript,non applicabile,
850704420,,,,,Autograph manuscript,non applicabile,
850728100,,[1861-1890],,250x330 mm,Autograph manuscript,non applicabile,
850728102,,1853,,320x240 mm,Autograph manuscript,non applicabile,
850730109,,,,,Autograph manuscript,non applicabile,
850730722,,,,,Autograph manuscript,non applicabile,
850731716,,,,,Autograph manuscript,non applicabile,
850734167,,[1791-1810],,230x320,Autograph manuscript,non applicabile,
850734403,,[1791-1810],,225x320,Autograph manuscript,non applicabile,
850734532,,[1791-1810],,220x315 mm,Autograph manuscript,non applicabile,
850734664,,[1791-1810],,220x315 mm,Autograph manuscript,non applicabile,
850734952,,[1791-1810],,230x325 mm,Autograph manuscript,non applicabile,
850736096,,1866,,,Autograph manuscript,non applicabile,
850736519,,[1861-1890],,295x220 mm.,Autograph manuscript,non applicabile,
850736521,,[1891-1900],,295x216 mm,Autograph manuscript,non applicabile,
850736523,,[1891-1900],,310x226 mm,Autograph manuscript,non applicabile,
850738148,,[1861-1890],,295x225 mm,Autograph manuscript,non applicabile,
850738270,,[1861-1890],,260x190 mm,Autograph manuscript,non applicabile,
850738398,,[1891-1900],,220x295 mm,Autograph manuscript,non applicabile,
850738400,,[1891-1900],,220x295 mm,Autograph manuscript,non applicabile,
850738401,,1867,,220x290 mm,Autograph manuscript,non applicabile,
850738402,,[1861-1890],,225x290 mm,Autograph manuscript,non applicabile,
850738403,,[1891-1900],,220x290 mm,Autograph manuscript,non applicabile,
850738405,,[1861-1890],,,Autograph manuscript,non applicabile,
850739707,,[1861-1890],,260x190 mm,Autograph manuscript,non applicabile,
850739709,,[1861-1890],,260x190 mm.,Autograph manuscript,non applicabile,
850739719,,[1861-1890],,,Autograph manuscript,non applicabile,
850739720,,[1861-1890],,288x218,Autograph manuscript,non applicabile,
850739721,,[1861-1890],,260x190 mm,Autograph manuscript,non applicabile,
850739722,,[1861-1890],,260x190 mm,Autograph manuscript,non applicabile,
850739723,,[1861-1890],,260x190 mm,Autograph manuscript,non applicabile,
850739724,,[1861-1890],,235x186 mm.,Autograph manuscript,non applicabile,
850739725,,[1861-1890],,228x185 mm.,Autograph manuscript,non applicabile,
850739854,,[1861-1890],,,Autograph manuscript,non applicabile,
850739855,,[1861-1890],,220x140 mm,Autograph manuscript,non applicabile,
850739857,,[1861-1890],,0x290 mm,Autograph manuscript,non applicabile,
850739868,,[1861-1890],,280x210 mm.,Autograph manuscript,non applicabile,
850739869,,[1861-1890],,315x235 mm.,Autograph manuscript,non applicabile,
850739871,,[1901-1910],,223x291 mm,Autograph manuscript,non applicabile,
850739872,,1868-1870,,225x300 mm,Autograph manuscript,non applicabile,
850739875,,[1891-1900],,225x290 mm,Autograph manuscript,non applicabile,
850739876,,[1891-1900],,216x286 mm,Autograph manuscript,non applicabile,
850739877,,[1891-1900],,218x291 mm,Autograph manuscript,non applicabile,
850740001,,1890 circa,,265x190 mm,Autograph manuscript,non applicabile,
850740002,,[1861-1890],,290x210 mm,Autograph manuscript,non applicabile,
850740003,,10 maggio del 1886,,215x290 mm.,Autograph manuscript,non applicabile,
850740013,,[1861-1890],,305x240 mm,Autograph manuscript,non applicabile,
850740015,,[1891-1900],,220x295 mm,Autograph manuscript,non applicabile,
850740017,,1870,,220x285 mm,Autograph manuscript,non applicabile,
850740018,,[1891-1900],,290x230 mm,Autograph manuscript,non applicabile,
